ablation,accuracy,dataset,duration,f1,model,precision,recall,roc_auc,status,task_id,task_idx
"{'topology': True, 'text': True}",1.0,FakeNewsNet,7.7869744300842285,1.0,LogisticRegression,1.0,1.0,1.0,success,0,0
"{'topology': True, 'text': False}",0.5,FakeNewsNet,7.749963045120239,0.0,LogisticRegression,0.0,0.0,0.5,success,1,1
"{'topology': False, 'text': True}",1.0,FakeNewsNet,1.1520957946777344,1.0,LogisticRegression,1.0,1.0,1.0,success,2,2
"{'topology': False, 'text': False}",0.5,FakeNewsNet,6.138322591781616,0.0,LogisticRegression,0.0,0.0,0.5,success,3,3
"{'topology': True, 'text': True}",1.0,FakeNewsNet,0.7563905715942383,1.0,RandomForest,1.0,1.0,1.0,success,4,4
"{'topology': True, 'text': False}",0.5,FakeNewsNet,0.6949098110198975,0.0,RandomForest,0.0,0.0,0.5,success,5,5
"{'topology': False, 'text': True}",1.0,FakeNewsNet,0.6250672340393066,1.0,RandomForest,1.0,1.0,1.0,success,6,6
"{'topology': False, 'text': False}",0.5,FakeNewsNet,0.7280862331390381,0.0,RandomForest,0.0,0.0,0.5,success,7,7
"{'topology': True, 'text': True}",1.0,FakeNewsNet,0.1818864345550537,1.0,SVM,1.0,1.0,1.0,success,8,8
"{'topology': True, 'text': False}",0.5,FakeNewsNet,0.18458986282348633,0.6666666666666666,SVM,0.5,1.0,0.5,success,9,9
"{'topology': False, 'text': True}",1.0,FakeNewsNet,0.06895732879638672,1.0,SVM,1.0,1.0,1.0,success,10,10
"{'topology': False, 'text': False}",0.5,FakeNewsNet,0.16589641571044922,0.6666666666666666,SVM,0.5,1.0,0.5,success,11,11
"{'topology': True, 'text': True}",1.0,FakeNewsNet,0.343151330947876,1.0,XGBoost,1.0,1.0,1.0,success,12,12
"{'topology': True, 'text': False}",0.5,FakeNewsNet,0.2182292938232422,0.0,XGBoost,0.0,0.0,0.5,success,13,13
"{'topology': False, 'text': True}",1.0,FakeNewsNet,0.16526222229003906,1.0,XGBoost,1.0,1.0,1.0,success,14,14
"{'topology': False, 'text': False}",0.5,FakeNewsNet,0.18488264083862305,0.0,XGBoost,0.0,0.0,0.5,success,15,15
"{'topology': True, 'text': True}",1.0,FakeNewsNet,0.6476130485534668,1.0,VeriLogosTopology,1.0,1.0,1.0,success,16,16
"{'topology': True, 'text': False}",0.5,FakeNewsNet,0.638622522354126,0.0,VeriLogosTopology,0.0,0.0,0.5,success,17,17
"{'topology': False, 'text': True}",1.0,FakeNewsNet,0.6186337471008301,1.0,VeriLogosTopology,1.0,1.0,1.0,success,18,18
"{'topology': False, 'text': False}",0.5,FakeNewsNet,0.6927852630615234,0.0,VeriLogosTopology,0.0,0.0,0.5,success,19,19
"{'topology': True, 'text': True}",1.0,FakeNewsNet,0.7067761421203613,1.0,Hybrid,1.0,1.0,1.0,success,20,20
"{'topology': True, 'text': False}",0.5,FakeNewsNet,0.6707990169525146,0.0,Hybrid,0.0,0.0,0.5,success,21,21
"{'topology': False, 'text': True}",1.0,FakeNewsNet,0.6157264709472656,1.0,Hybrid,1.0,1.0,1.0,success,22,22
"{'topology': False, 'text': False}",0.5,FakeNewsNet,0.668088436126709,0.0,Hybrid,0.0,0.0,0.5,success,23,23
"{'topology': True, 'text': True}",1.0,LIAR,0.16640686988830566,1.0,LogisticRegression,1.0,1.0,1.0,success,24,24
"{'topology': True, 'text': False}",0.5,LIAR,0.16889452934265137,0.0,LogisticRegression,0.0,0.0,0.5,success,25,25
"{'topology': False, 'text': True}",1.0,LIAR,0.06750845909118652,1.0,LogisticRegression,1.0,1.0,1.0,success,26,26
"{'topology': False, 'text': False}",0.5,LIAR,0.09918642044067383,0.0,LogisticRegression,0.0,0.0,0.5,success,27,27
"{'topology': True, 'text': True}",1.0,LIAR,0.5514681339263916,1.0,RandomForest,1.0,1.0,1.0,success,28,28
"{'topology': True, 'text': False}",0.5,LIAR,0.5252399444580078,0.0,RandomForest,0.0,0.0,0.5,success,29,29
"{'topology': False, 'text': True}",1.0,LIAR,0.4780759811401367,1.0,RandomForest,1.0,1.0,1.0,success,30,30
"{'topology': False, 'text': False}",0.5,LIAR,0.590078592300415,0.0,RandomForest,0.0,0.0,0.5,success,31,31
"{'topology': True, 'text': True}",1.0,LIAR,0.11963319778442383,1.0,SVM,1.0,1.0,1.0,success,32,32
"{'topology': True, 'text': False}",0.5,LIAR,0.10460114479064941,0.6666666666666666,SVM,0.5,1.0,0.5,success,33,33
"{'topology': False, 'text': True}",1.0,LIAR,0.04366183280944824,1.0,SVM,1.0,1.0,1.0,success,34,34
"{'topology': False, 'text': False}",0.5,LIAR,0.12216472625732422,0.6666666666666666,SVM,0.5,1.0,0.5,success,35,35
"{'topology': True, 'text': True}",1.0,LIAR,0.18439245223999023,1.0,XGBoost,1.0,1.0,1.0,success,36,36
"{'topology': True, 'text': False}",0.5,LIAR,0.15066909790039062,0.0,XGBoost,0.0,0.0,0.5,success,37,37
"{'topology': False, 'text': True}",1.0,LIAR,0.11667585372924805,1.0,XGBoost,1.0,1.0,1.0,success,38,38
"{'topology': False, 'text': False}",0.5,LIAR,0.15155887603759766,0.0,XGBoost,0.0,0.0,0.5,success,39,39
"{'topology': True, 'text': True}",1.0,LIAR,0.5983366966247559,1.0,VeriLogosTopology,1.0,1.0,1.0,success,40,40
"{'topology': True, 'text': False}",0.5,LIAR,0.5596511363983154,0.0,VeriLogosTopology,0.0,0.0,0.5,success,41,41
"{'topology': False, 'text': True}",1.0,LIAR,0.49660730361938477,1.0,VeriLogosTopology,1.0,1.0,1.0,success,42,42
"{'topology': False, 'text': False}",0.5,LIAR,0.5425350666046143,0.0,VeriLogosTopology,0.0,0.0,0.5,success,43,43
"{'topology': True, 'text': True}",1.0,LIAR,0.5526049137115479,1.0,Hybrid,1.0,1.0,1.0,success,44,44
"{'topology': True, 'text': False}",0.5,LIAR,0.5226249694824219,0.0,Hybrid,0.0,0.0,0.5,success,45,45
"{'topology': False, 'text': True}",1.0,LIAR,0.5160980224609375,1.0,Hybrid,1.0,1.0,1.0,success,46,46
"{'topology': False, 'text': False}",0.5,LIAR,0.5779480934143066,0.0,Hybrid,0.0,0.0,0.5,success,47,47
"{'topology': True, 'text': True}",1.0,PHEME,0.10989880561828613,1.0,LogisticRegression,1.0,1.0,1.0,success,48,48
"{'topology': True, 'text': False}",0.5,PHEME,0.11269092559814453,0.0,LogisticRegression,0.0,0.0,0.5,success,49,49
"{'topology': False, 'text': True}",1.0,PHEME,0.05505943298339844,1.0,LogisticRegression,1.0,1.0,1.0,success,50,50
"{'topology': False, 'text': False}",0.5,PHEME,0.11246204376220703,0.0,LogisticRegression,0.0,0.0,0.5,success,51,51
"{'topology': True, 'text': True}",1.0,PHEME,0.5613632202148438,1.0,RandomForest,1.0,1.0,1.0,success,52,52
"{'topology': True, 'text': False}",0.5,PHEME,0.5438170433044434,0.0,RandomForest,0.0,0.0,0.5,success,53,53
"{'topology': False, 'text': True}",1.0,PHEME,0.49855709075927734,1.0,RandomForest,1.0,1.0,1.0,success,54,54
"{'topology': False, 'text': False}",0.5,PHEME,0.6229524612426758,0.0,RandomForest,0.0,0.0,0.5,success,55,55
"{'topology': True, 'text': True}",1.0,PHEME,0.12476134300231934,1.0,SVM,1.0,1.0,1.0,success,56,56
"{'topology': True, 'text': False}",0.5,PHEME,0.11195731163024902,0.6666666666666666,SVM,0.5,1.0,0.5,success,57,57
"{'topology': False, 'text': True}",1.0,PHEME,0.0539402961730957,1.0,SVM,1.0,1.0,1.0,success,58,58
"{'topology': False, 'text': False}",0.5,PHEME,0.10845088958740234,0.6666666666666666,SVM,0.5,1.0,0.5,success,59,59
"{'topology': True, 'text': True}",1.0,PHEME,0.16889715194702148,1.0,XGBoost,1.0,1.0,1.0,success,60,60
"{'topology': True, 'text': False}",0.5,PHEME,0.1495499610900879,0.0,XGBoost,0.0,0.0,0.5,success,61,61
"{'topology': False, 'text': True}",1.0,PHEME,0.11865592002868652,1.0,XGBoost,1.0,1.0,1.0,success,62,62
"{'topology': False, 'text': False}",0.5,PHEME,0.15264153480529785,0.0,XGBoost,0.0,0.0,0.5,success,63,63
"{'topology': True, 'text': True}",1.0,PHEME,0.5767099857330322,1.0,VeriLogosTopology,1.0,1.0,1.0,success,64,64
"{'topology': True, 'text': False}",0.5,PHEME,0.5633068084716797,0.0,VeriLogosTopology,0.0,0.0,0.5,success,65,65
"{'topology': False, 'text': True}",1.0,PHEME,0.5195701122283936,1.0,VeriLogosTopology,1.0,1.0,1.0,success,66,66
"{'topology': False, 'text': False}",0.5,PHEME,0.5544998645782471,0.0,VeriLogosTopology,0.0,0.0,0.5,success,67,67
"{'topology': True, 'text': True}",1.0,PHEME,0.5748090744018555,1.0,Hybrid,1.0,1.0,1.0,success,68,68
"{'topology': True, 'text': False}",0.5,PHEME,0.5317034721374512,0.0,Hybrid,0.0,0.0,0.5,success,69,69
"{'topology': False, 'text': True}",1.0,PHEME,0.44777679443359375,1.0,Hybrid,1.0,1.0,1.0,success,70,70
"{'topology': False, 'text': False}",0.5,PHEME,0.4296255111694336,0.0,Hybrid,0.0,0.0,0.5,success,71,71
